시행 : 0 S | 0 B
83238번째 시행 : 0 S | 2 B
83239번째 시행 : 0 S | 1 B
83240번째 시행 : 1 S | 0 B
83241번째 시행 : 0 S | 1 B
83242번째 시행 : 1 S | 0 B
83243번째 시행 : 0 S | 0 B
83244번째 시행 : 0 S | 1 B
83245번째 시행 : 0 S | 0 B
83246번째 시행 : 1 S | 0 B
83247번째 시행 : 0 S | 0 B
83248번째 시행 : 0 S | 2 B
83249번째 시행 : 1 S | 0 B
83250번째 시행 : 2 S | 0 B
83251번째 시행 : 0 S | 2 B
83252번째 시행 : 0 S | 1 B
83253번째 시행 : 0 S | 2 B
83254번째 시행 : 0 S | 1 B
83255번째 시행 : 1 S | 1 B
83256번째 시행 : 0 S | 2 B
83257번째 시행 : 0 S | 0 B
83258번째 시행 : 1 S | 1 B
83259번째 시행 : 0 S | 1 B
83260번째 시행 : 0 S | 0 B
83261번째 시행 : 0 S | 1 B
83262번째 시행 : 0 S | 1 B
83263번째 시행 : 0 S | 0 B
83264번째 시행 : 0 S | 0 B
83265번째 시행 : 0 S | 0 B
83266번째 시행 : 0 S | 1 B
83267번째 시행 : 0 S | 1 B
83268번째 시행 : 0 S | 1 B
83269번째 시행 : 0 S | 1 B
83270번째 시행 : 0 S | 1 B
83271번째 시행 : 0 S | 1 B
83272번째 시행 : 0 S | 1 B
83273번째 시행 : 0 S | 2 B
83274번째 시행 : 0 S | 0 B
83275번째 시행 : 0 S | 0 B
83276번째 시행 : 1 S | 0 B
83277번째 시행 : 0 S | 1 B
83278번째 시행 : 1 S | 0 B
83279번째 시행 : 1 S | 0 B
83280번째 시행 : 0 S | 2 B
83281번째 시행 : 1 S | 0 B
83282번째 시행 : 2 S | 0 B
83283번째 시행 : 0 S | 1 B
83284번째 시행 : 0 S | 1 B
83285번째 시행 : 0 S | 0 B
83286번째 시행 : 0 S | 1 B
83287번째 시행 : 0 S | 0 B
83288번째 시행 : 0 S | 1 B
83289번째 시행 : 0 S | 1 B
83290번째 시행 : 0 S | 0 B
83291번째 시행 : 0 S | 1 B
83292번째 시행 : 0 S | 0 B
83293번째 시행 : 0 S | 2 B
83294번째 시행 : 0 S | 2 B
83295번째 시행 : 0 S | 2 B
83296번째 시행 : 0 S | 1 B
83297번째 시행 : 1 S | 0 B
83298번째 시행 : 0 S | 1 B
83299번째 시행 : 1 S | 0 B
83300번째 시행 : 1 S | 0 B
83301번째 시행 : 0 S | 2 B
83302번째 시행 : 1 S | 1 B
83303번째 시행 : 0 S | 1 B
83304번째 시행 : 0 S | 1 B
83305번째 시행 : 0 S | 0 B
83306번째 시행 : 0 S | 1 B
83307번째 시행 : 0 S | 1 B
83308번째 시행 : 0 S | 1 B
83309번째 시행 : 0 S | 0 B
83310번째 시행 : 0 S | 1 B
83311번째 시행 : 2 S | 0 B
83312번째 시행 : 0 S | 2 B
83313번째 시행 : 0 S | 2 B
83314번째 시행 : 0 S | 0 B
83315번째 시행 : 0 S | 1 B
83316번째 시행 : 0 S | 1 B
83317번째 시행 : 1 S | 0 B
83318번째 시행 : 0 S | 1 B
83319번째 시행 : 0 S | 1 B
83320번째 시행 : 1 S | 0 B
83321번째 시행 : 0 S | 1 B
83322번째 시행 : 0 S | 1 B
83323번째 시행 : 1 S | 1 B
83324번째 시행 : 0 S | 1 B
83325번째 시행 : 0 S | 0 B
83326번째 시행 : 0 S | 2 B
83327번째 시행 : 1 S | 1 B
83328번째 시행 : 0 S | 0 B
83329번째 시행 : 0 S | 0 B
83330번째 시행 : 0 S | 2 B
83331번째 시행 : 0 S | 0 B
83332번째 시행 : 0 S | 0 B
83333번째 시행 : 1 S | 0 B
83334번째 시행 : 0 S | 2 B
83335번째 시행 : 1 S | 0 B
83336번째 시행 : 0 S | 2 B
83337번째 시행 : 0 S | 0 B
83338번째 시행 : 0 S | 0 B
83339번째 시행 : 1 S | 0 B
83340번째 시행 : 0 S | 2 B
83341번째 시행 : 0 S | 1 B
83342번째 시행 : 1 S | 0 B
83343번째 시행 : 0 S | 0 B
83344번째 시행 : 0 S | 1 B
83345번째 시행 : 0 S | 1 B
83346번째 시행 : 0 S | 1 B
83347번째 시행 : 2 S | 0 B
83348번째 시행 : 1 S | 0 B
83349번째 시행 : 0 S | 0 B
83350번째 시행 : 0 S | 1 B
83351번째 시행 : 0 S | 1 B
83352번째 시행 : 0 S | 0 B
83353번째 시행 : 0 S | 1 B
83354번째 시행 : 1 S | 0 B
83355번째 시행 : 0 S | 2 B
83356번째 시행 : 1 S | 0 B
83357번째 시행 : 1 S | 0 B
83358번째 시행 : 1 S | 1 B
83359번째 시행 : 1 S | 0 B
83360번째 시행 : 0 S | 0 B
83361번째 시행 : 0 S | 1 B
83362번째 시행 : 0 S | 0 B
83363번째 시행 : 0 S | 2 B
83364번째 시행 : 0 S | 0 B
83365번째 시행 : 0 S | 1 B
83366번째 시행 : 1 S | 2 B
83367번째 시행 : 0 S | 2 B
83368번째 시행 : 0 S | 1 B
83369번째 시행 : 0 S | 1 B
83370번째 시행 : 0 S | 1 B
83371번째 시행 : 0 S | 0 B
83372번째 시행 : 0 S | 0 B
83373번째 시행 : 1 S | 0 B
83374번째 시행 : 1 S | 0 B
83375번째 시행 : 2 S | 0 B
83376번째 시행 : 0 S | 1 B
83377번째 시행 : 1 S | 0 B
83378번째 시행 : 0 S | 0 B
83379번째 시행 : 0 S | 0 B
83380번째 시행 : 0 S | 1 B
83381번째 시행 : 1 S | 1 B
83382번째 시행 : 0 S | 0 B
83383번째 시행 : 1 S | 0 B
83384번째 시행 : 0 S | 2 B
83385번째 시행 : 0 S | 2 B
83386번째 시행 : 0 S | 3 B
83387번째 시행 : 2 S | 0 B
83388번째 시행 : 1 S | 0 B
83389번째 시행 : 1 S | 1 B
83390번째 시행 : 0 S | 1 B
83391번째 시행 : 0 S | 0 B
83392번째 시행 : 0 S | 1 B
83393번째 시행 : 1 S | 0 B
83394번째 시행 : 0 S | 1 B
83395번째 시행 : 0 S | 1 B
83396번째 시행 : 1 S | 1 B
83397번째 시행 : 0 S | 1 B
83398번째 시행 : 0 S | 1 B
83399번째 시행 : 1 S | 0 B
83400번째 시행 : 0 S | 1 B
83401번째 시행 : 0 S | 0 B
83402번째 시행 : 0 S | 2 B
83403번째 시행 : 0 S | 2 B
83404번째 시행 : 0 S | 1 B
83405번째 시행 : 0 S | 1 B
83406번째 시행 : 0 S | 1 B
83407번째 시행 : 0 S | 1 B
83408번째 시행 : 0 S | 2 B
83409번째 시행 : 0 S | 1 B
83410번째 시행 : 1 S | 0 B
83411번째 시행 : 0 S | 1 B
83412번째 시행 : 0 S | 0 B
83413번째 시행 : 0 S | 0 B
83414번째 시행 : 0 S | 1 B
83415번째 시행 : 0 S | 0 B
83416번째 시행 : 0 S | 1 B
83417번째 시행 : 0 S | 1 B
83418번째 시행 : 0 S | 1 B
83419번째 시행 : 0 S | 1 B
83420번째 시행 : 0 S | 1 B
83421번째 시행 : 0 S | 0 B
83422번째 시행 : 0 S | 1 B
83423번째 시행 : 1 S | 2 B
83424번째 시행 : 0 S | 0 B
83425번째 시행 : 0 S | 1 B
83426번째 시행 : 0 S | 0 B
83427번째 시행 : 0 S | 0 B
83428번째 시행 : 1 S | 0 B
83429번째 시행 : 1 S | 1 B
83430번째 시행 : 1 S | 1 B
83431번째 시행 : 0 S | 2 B
83432번째 시행 : 1 S | 1 B
83433번째 시행 : 0 S | 1 B
83434번째 시행 : 0 S | 1 B
83435번째 시행 : 1 S | 0 B
83436번째 시행 : 0 S | 1 B
83437번째 시행 : 1 S | 1 B
83438번째 시행 : 0 S | 1 B
83439번째 시행 : 2 S | 0 B
83440번째 시행 : 1 S | 2 B
83441번째 시행 : 0 S | 1 B
83442번째 시행 : 0 S | 1 B
83443번째 시행 : 1 S | 0 B
83444번째 시행 : 0 S | 2 B
83445번째 시행 : 0 S | 1 B
83446번째 시행 : 0 S | 1 B
83447번째 시행 : 0 S | 1 B
83448번째 시행 : 2 S | 0 B
83449번째 시행 : 0 S | 1 B
83450번째 시행 : 0 S | 1 B
83451번째 시행 : 0 S | 1 B
83452번째 시행 : 0 S | 1 B
83453번째 시행 : 0 S | 1 B
83454번째 시행 : 1 S | 0 B
83455번째 시행 : 0 S | 1 B
83456번째 시행 : 0 S | 2 B
83457번째 시행 : 0 S | 0 B
83458번째 시행 : 1 S | 1 B
83459번째 시행 : 0 S | 0 B
83460번째 시행 : 2 S | 0 B
83461번째 시행 : 0 S | 2 B
83462번째 시행 : 0 S | 1 B
83463번째 시행 : 0 S | 1 B
83464번째 시행 : 0 S | 2 B
83465번째 시행 : 0 S | 0 B
83466번째 시행 : 1 S | 0 B
83467번째 시행 : 1 S | 0 B
83468번째 시행 : 0 S | 0 B
83469번째 시행 : 0 S | 1 B
83470번째 시행 : 0 S | 1 B
83471번째 시행 : 0 S | 1 B
83472번째 시행 : 0 S | 1 B
83473번째 시행 : 0 S | 1 B
83474번째 시행 : 0 S | 1 B
83475번째 시행 : 0 S | 1 B
83476번째 시행 : 0 S | 0 B
83477번째 시행 : 0 S | 1 B
83478번째 시행 : 0 S | 1 B
83479번째 시행 : 1 S | 0 B
83480번째 시행 : 1 S | 1 B
83481번째 시행 : 0 S | 0 B
83482번째 시행 : 0 S | 1 B
83483번째 시행 : 0 S | 2 B
83484번째 시행 : 0 S | 2 B
83485번째 시행 : 0 S | 1 B
83486번째 시행 : 1 S | 1 B
83487번째 시행 : 0 S | 1 B
83488번째 시행 : 0 S | 2 B
83489번째 시행 : 0 S | 0 B
83490번째 시행 : 1 S | 0 B
83491번째 시행 : 0 S | 1 B
83492번째 시행 : 0 S | 1 B
83493번째 시행 : 0 S | 2 B
83494번째 시행 : 0 S | 1 B
83495번째 시행 : 0 S | 0 B
83496번째 시행 : 0 S | 0 B
83497번째 시행 : 0 S | 1 B
83498번째 시행 : 0 S | 1 B
83499번째 시행 : 1 S | 0 B
83500번째 시행 : 2 S | 0 B
83501번째 시행 : 1 S | 1 B
83502번째 시행 : 0 S | 1 B
83503번째 시행 : 0 S | 1 B
83504번째 시행 : 1 S | 0 B
83505번째 시행 : 0 S | 1 B
83506번째 시행 : 0 S | 0 B
83507번째 시행 : 1 S | 1 B
83508번째 시행 : 0 S | 2 B
83509번째 시행 : 0 S | 1 B
83510번째 시행 : 0 S | 1 B
83511번째 시행 : 1 S | 0 B
83512번째 시행 : 1 S | 0 B
83513번째 시행 : 0 S | 1 B
83514번째 시행 : 0 S | 2 B
83515번째 시행 : 0 S | 0 B
83516번째 시행 : 0 S | 0 B
83517번째 시행 : 0 S | 0 B
83518번째 시행 : 0 S | 0 B
83519번째 시행 : 1 S | 1 B
83520번째 시행 : 1 S | 1 B
83521번째 시행 : 1 S | 0 B
83522번째 시행 : 0 S | 1 B
83523번째 시행 : 0 S | 2 B
83524번째 시행 : 0 S | 1 B
83525번째 시행 : 0 S | 0 B
83526번째 시행 : 0 S | 0 B
83527번째 시행 : 0 S | 0 B
83528번째 시행 : 0 S | 0 B
83529번째 시행 : 0 S | 1 B
83530번째 시행 : 1 S | 1 B
83531번째 시행 : 1 S | 0 B
83532번째 시행 : 0 S | 0 B
83533번째 시행 : 0 S | 1 B
83534번째 시행 : 0 S | 1 B
83535번째 시행 : 0 S | 0 B
83536번째 시행 : 0 S | 0 B
83537번째 시행 : 0 S | 1 B
83538번째 시행 : 0 S | 2 B
83539번째 시행 : 0 S | 1 B
83540번째 시행 : 0 S | 2 B
83541번째 시행 : 1 S | 0 B
83542번째 시행 : 0 S | 1 B
83543번째 시행 : 0 S | 1 B
83544번째 시행 : 1 S | 0 B
83545번째 시행 : 0 S | 0 B
83546번째 시행 : 0 S | 1 B
83547번째 시행 : 0 S | 1 B
83548번째 시행 : 1 S | 1 B
83549번째 시행 : 1 S | 0 B
83550번째 시행 : 0 S | 0 B
83551번째 시행 : 0 S | 1 B
83552번째 시행 : 0 S | 2 B
83553번째 시행 : 0 S | 1 B
83554번째 시행 : 0 S | 0 B
83555번째 시행 : 0 S | 1 B
83556번째 시행 : 1 S | 1 B
83557번째 시행 : 0 S | 2 B
83558번째 시행 : 0 S | 1 B
83559번째 시행 : 1 S | 0 B
83560번째 시행 : 0 S | 2 B
83561번째 시행 : 0 S | 1 B
83562번째 시행 : 0 S | 0 B
83563번째 시행 : 0 S | 1 B
83564번째 시행 : 0 S | 1 B
83565번째 시행 : 1 S | 0 B
83566번째 시행 : 0 S | 1 B
83567번째 시행 : 0 S | 1 B
83568번째 시행 : 0 S | 1 B
83569번째 시행 : 0 S | 0 B
83570번째 시행 : 1 S | 1 B
83571번째 시행 : 2 S | 0 B
83572번째 시행 : 0 S | 0 B
83573번째 시행 : 0 S | 0 B
83574번째 시행 : 0 S | 0 B
83575번째 시행 : 0 S | 1 B
83576번째 시행 : 0 S | 1 B
83577번째 시행 : 0 S | 1 B
83578번째 시행 : 0 S | 2 B
83579번째 시행 : 0 S | 1 B
83580번째 시행 : 0 S | 2 B
83581번째 시행 : 0 S | 1 B
83582번째 시행 : 0 S | 1 B
83583번째 시행 : 0 S | 1 B
83584번째 시행 : 2 S | 0 B
83585번째 시행 : 0 S | 0 B
83586번째 시행 : 2 S | 0 B
83587번째 시행 : 0 S | 2 B
83588번째 시행 : 0 S | 1 B
83589번째 시행 : 0 S | 1 B
83590번째 시행 : 0 S | 1 B
83591번째 시행 : 0 S | 0 B
83592번째 시행 : 0 S | 1 B
83593번째 시행 : 0 S | 1 B
83594번째 시행 : 0 S | 1 B
83595번째 시행 : 0 S | 2 B
83596번째 시행 : 0 S | 1 B
83597번째 시행 : 1 S | 2 B
83598번째 시행 : 0 S | 1 B
83599번째 시행 : 1 S | 0 B
83600번째 시행 : 0 S | 1 B
83601번째 시행 : 0 S | 1 B
83602번째 시행 : 0 S | 1 B
83603번째 시행 : 0 S | 1 B
83604번째 시행 : 1 S | 0 B
83605번째 시행 : 1 S | 0 B
83606번째 시행 : 1 S | 2 B
83607번째 시행 : 0 S | 1 B
83608번째 시행 : 0 S | 1 B
83609번째 시행 : 0 S | 0 B
83610번째 시행 : 0 S | 0 B
83611번째 시행 : 1 S | 1 B
83612번째 시행 : 1 S | 0 B
83613번째 시행 : 0 S | 1 B
83614번째 시행 : 0 S | 0 B
83615번째 시행 : 0 S | 1 B
83616번째 시행 : 0 S | 1 B
83617번째 시행 : 0 S | 1 B
83618번째 시행 : 0 S | 3 B
83619번째 시행 : 1 S | 0 B
83620번째 시행 : 0 S | 1 B
83621번째 시행 : 0 S | 1 B
83622번째 시행 : 1 S | 0 B
83623번째 시행 : 1 S | 0 B
83624번째 시행 : 0 S | 2 B
83625번째 시행 : 1 S | 0 B
83626번째 시행 : 1 S | 0 B
83627번째 시행 : 1 S | 0 B
83628번째 시행 : 0 S | 1 B
83629번째 시행 : 0 S | 0 B
83630번째 시행 : 0 S | 1 B
83631번째 시행 : 1 S | 0 B
83632번째 시행 : 0 S | 1 B
83633번째 시행 : 0 S | 0 B
83634번째 시행 : 1 S | 0 B
83635번째 시행 : 0 S | 0 B
83636번째 시행 : 0 S | 1 B
83637번째 시행 : 0 S | 2 B
83638번째 시행 : 0 S | 0 B
83639번째 시행 : 1 S | 0 B
83640번째 시행 : 2 S | 0 B
83641번째 시행 : 0 S | 1 B
83642번째 시행 : 1 S | 0 B
83643번째 시행 : 1 S | 0 B
83644번째 시행 : 0 S | 1 B
83645번째 시행 : 0 S | 1 B
83646번째 시행 : 0 S | 2 B
83647번째 시행 : 1 S | 0 B
83648번째 시행 : 0 S | 1 B
83649번째 시행 : 1 S | 1 B
83650번째 시행 : 0 S | 1 B
83651번째 시행 : 0 S | 0 B
83652번째 시행 : 0 S | 2 B
83653번째 시행 : 0 S | 0 B
83654번째 시행 : 1 S | 0 B
83655번째 시행 : 1 S | 0 B
83656번째 시행 : 0 S | 1 B
83657번째 시행 : 1 S | 0 B
83658번째 시행 : 0 S | 2 B
83659번째 시행 : 1 S | 0 B
83660번째 시행 : 2 S | 0 B
83661번째 시행 : 0 S | 0 B
83662번째 시행 : 0 S | 2 B
83663번째 시행 : 0 S | 1 B
83664번째 시행 : 0 S | 0 B
83665번째 시행 : 1 S | 0 B
83666번째 시행 : 0 S | 2 B
83667번째 시행 : 0 S | 0 B
83668번째 시행 : 1 S | 1 B
83669번째 시행 : 1 S | 0 B
83670번째 시행 : 1 S | 0 B
83671번째 시행 : 0 S | 0 B
83672번째 시행 : 0 S | 0 B
83673번째 시행 : 0 S | 1 B
83674번째 시행 : 1 S | 0 B
83675번째 시행 : 1 S | 0 B
83676번째 시행 : 0 S | 1 B
83677번째 시행 : 0 S | 1 B
83678번째 시행 : 0 S | 1 B
83679번째 시행 : 0 S | 1 B
83680번째 시행 : 1 S | 1 B
83681번째 시행 : 1 S | 0 B
83682번째 시행 : 0 S | 1 B
83683번째 시행 : 0 S | 1 B
83684번째 시행 : 0 S | 1 B
83685번째 시행 : 1 S | 0 B
83686번째 시행 : 1 S | 0 B
83687번째 시행 : 1 S | 1 B
83688번째 시행 : 0 S | 0 B
83689번째 시행 : 0 S | 0 B
83690번째 시행 : 0 S | 1 B
83691번째 시행 : 1 S | 1 B
83692번째 시행 : 0 S | 0 B
83693번째 시행 : 0 S | 1 B
83694번째 시행 : 1 S | 0 B
83695번째 시행 : 1 S | 1 B
83696번째 시행 : 0 S | 2 B
83697번째 시행 : 0 S | 1 B
83698번째 시행 : 0 S | 0 B
83699번째 시행 : 1 S | 0 B
83700번째 시행 : 1 S | 1 B
83701번째 시행 : 2 S | 0 B
83702번째 시행 : 1 S | 0 B
83703번째 시행 : 0 S | 2 B
83704번째 시행 : 0 S | 2 B
83705번째 시행 : 0 S | 1 B
83706번째 시행 : 1 S | 0 B
83707번째 시행 : 1 S | 1 B
83708번째 시행 : 1 S | 0 B
83709번째 시행 : 0 S | 2 B
83710번째 시행 : 1 S | 0 B
83711번째 시행 : 0 S | 1 B
83712번째 시행 : 0 S | 1 B
83713번째 시행 : 0 S | 1 B
83714번째 시행 : 1 S | 1 B
83715번째 시행 : 0 S | 0 B
83716번째 시행 : 0 S | 0 B
83717번째 시행 : 0 S | 1 B
83718번째 시행 : 0 S | 1 B
83719번째 시행 : 0 S | 1 B
83720번째 시행 : 0 S | 1 B
83721번째 시행 : 1 S | 0 B
83722번째 시행 : 0 S | 1 B
83723번째 시행 : 0 S | 0 B
83724번째 시행 : 1 S | 0 B
83725번째 시행 : 1 S | 1 B
83726번째 시행 : 0 S | 1 B
83727번째 시행 : 1 S | 0 B
83728번째 시행 : 0 S | 2 B
83729번째 시행 : 0 S | 0 B
83730번째 시행 : 2 S | 0 B
83731번째 시행 : 0 S | 2 B
83732번째 시행 : 0 S | 1 B
83733번째 시행 : 0 S | 0 B
83734번째 시행 : 1 S | 1 B
83735번째 시행 : 0 S | 0 B
83736번째 시행 : 0 S | 0 B
83737번째 시행 : 0 S | 1 B
83738번째 시행 : 0 S | 1 B
83739번째 시행 : 1 S | 1 B
83740번째 시행 : 0 S | 2 B
83741번째 시행 : 0 S | 2 B
83742번째 시행 : 0 S | 0 B
83743번째 시행 : 0 S | 1 B
83744번째 시행 : 0 S | 0 B
83745번째 시행 : 0 S | 2 B
83746번째 시행 : 0 S | 1 B
83747번째 시행 : 0 S | 1 B
83748번째 시행 : 0 S | 1 B
83749번째 시행 : 0 S | 0 B
83750번째 시행 : 0 S | 1 B
83751번째 시행 : 0 S | 2 B
83752번째 시행 : 1 S | 0 B
83753번째 시행 : 1 S | 0 B
83754번째 시행 : 0 S | 1 B
83755번째 시행 : 0 S | 1 B
83756번째 시행 : 0 S | 1 B
83757번째 시행 : 0 S | 1 B
83758번째 시행 : 0 S | 0 B
83759번째 시행 : 1 S | 1 B
83760번째 시행 : 0 S | 0 B
83761번째 시행 : 0 S | 1 B
83762번째 시행 : 2 S | 0 B
83763번째 시행 : 0 S | 1 B
83764번째 시행 : 0 S | 0 B
83765번째 시행 : 0 S | 0 B
83766번째 시행 : 1 S | 0 B
83767번째 시행 : 0 S | 0 B
83768번째 시행 : 0 S | 0 B
83769번째 시행 : 0 S | 2 B
83770번째 시행 : 1 S | 0 B
83771번째 시행 : 0 S | 1 B
83772번째 시행 : 0 S | 1 B
83773번째 시행 : 0 S | 1 B
83774번째 시행 : 1 S | 0 B
83775번째 시행 : 0 S | 0 B
83776번째 시행 : 0 S | 0 B
83777번째 시행 : 0 S | 1 B
83778번째 시행 : 0 S | 2 B
83779번째 시행 : 0 S | 0 B
83780번째 시행 : 0 S | 0 B
83781번째 시행 : 0 S | 1 B
83782번째 시행 : 0 S | 1 B
83783번째 시행 : 0 S | 2 B
83784번째 시행 : 0 S | 0 B
83785번째 시행 : 0 S | 0 B
83786번째 시행 : 0 S | 2 B
83787번째 시행 : 0 S | 1 B
83788번째 시행 : 0 S | 0 B
83789번째 시행 : 0 S | 1 B
83790번째 시행 : 0 S | 1 B
83791번째 시행 : 0 S | 0 B
83792번째 시행 : 1 S | 1 B
83793번째 시행 : 0 S | 0 B
83794번째 시행 : 0 S | 1 B
83795번째 시행 : 0 S | 0 B
83796번째 시행 : 0 S | 0 B
83797번째 시행 : 1 S | 0 B
83798번째 시행 : 1 S | 0 B
83799번째 시행 : 1 S | 0 B
83800번째 시행 : 0 S | 0 B
83801번째 시행 : 0 S | 1 B
83802번째 시행 : 0 S | 1 B
83803번째 시행 : 0 S | 1 B
83804번째 시행 : 0 S | 1 B
83805번째 시행 : 1 S | 0 B
83806번째 시행 : 1 S | 1 B
83807번째 시행 : 1 S | 1 B
83808번째 시행 : 0 S | 2 B
83809번째 시행 : 0 S | 1 B
83810번째 시행 : 1 S | 0 B
83811번째 시행 : 1 S | 0 B
83812번째 시행 : 0 S | 1 B
83813번째 시행 : 1 S | 0 B
83814번째 시행 : 1 S | 0 B
83815번째 시행 : 0 S | 2 B
83816번째 시행 : 0 S | 1 B
83817번째 시행 : 1 S | 0 B
83818번째 시행 : 0 S | 2 B
83819번째 시행 : 0 S | 1 B
83820번째 시행 : 0 S | 0 B
83821번째 시행 : 0 S | 0 B
83822번째 시행 : 1 S | 0 B
83823번째 시행 : 1 S | 1 B
83824번째 시행 : 0 S | 0 B
83825번째 시행 : 1 S | 0 B
83826번째 시행 : 0 S | 0 B
83827번째 시행 : 0 S | 0 B
83828번째 시행 : 0 S | 1 B
83829번째 시행 : 0 S | 1 B
83830번째 시행 : 1 S | 1 B
83831번째 시행 : 0 S | 0 B
83832번째 시행 : 1 S | 0 B
83833번째 시행 : 1 S | 2 B
83834번째 시행 : 0 S | 0 B
83835번째 시행 : 0 S | 2 B
83836번째 시행 : 0 S | 0 B
83837번째 시행 : 0 S | 1 B
83838번째 시행 : 0 S | 0 B
83839번째 시행 : 0 S | 2 B
83840번째 시행 : 0 S | 0 B
83841번째 시행 : 0 S | 1 B
83842번째 시행 : 2 S | 0 B
83843번째 시행 : 1 S | 0 B
83844번째 시행 : 1 S | 1 B
83845번째 시행 : 0 S | 2 B
83846번째 시행 : 0 S | 1 B
83847번째 시행 : 1 S | 0 B
83848번째 시행 : 0 S | 3 B
83849번째 시행 : 1 S | 0 B
83850번째 시행 : 0 S | 2 B
83851번째 시행 : 0 S | 0 B
83852번째 시행 : 0 S | 1 B
83853번째 시행 : 0 S | 2 B
83854번째 시행 : 1 S | 0 B
83855번째 시행 : 0 S | 2 B
83856번째 시행 : 0 S | 2 B
83857번째 시행 : 0 S | 1 B
83858번째 시행 : 0 S | 0 B
83859번째 시행 : 0 S | 0 B
83860번째 시행 : 0 S | 0 B
83861번째 시행 : 1 S | 0 B
83862번째 시행 : 2 S | 0 B
83863번째 시행 : 0 S | 1 B
83864번째 시행 : 0 S | 0 B
83865번째 시행 : 0 S | 1 B
83866번째 시행 : 0 S | 0 B
83867번째 시행 : 0 S | 2 B
83868번째 시행 : 0 S | 1 B
83869번째 시행 : 0 S | 1 B
83870번째 시행 : 1 S | 0 B
83871번째 시행 : 1 S | 0 B
83872번째 시행 : 0 S | 1 B
83873번째 시행 : 1 S | 0 B
83874번째 시행 : 1 S | 0 B
83875번째 시행 : 1 S | 0 B
83876번째 시행 : 0 S | 1 B
83877번째 시행 : 0 S | 0 B
83878번째 시행 : 0 S | 0 B
83879번째 시행 : 0 S | 1 B
83880번째 시행 : 0 S | 2 B
83881번째 시행 : 0 S | 0 B
83882번째 시행 : 0 S | 1 B
83883번째 시행 : 0 S | 0 B
83884번째 시행 : 0 S | 0 B
83885번째 시행 : 1 S | 0 B
83886번째 시행 : 0 S | 0 B
83887번째 시행 : 0 S | 2 B
83888번째 시행 : 0 S | 1 B
83889번째 시행 : 1 S | 0 B
83890번째 시행 : 0 S | 1 B
83891번째 시행 : 0 S | 1 B
83892번째 시행 : 1 S | 1 B
83893번째 시행 : 0 S | 1 B
83894번째 시행 : 1 S | 1 B
83895번째 시행 : 1 S | 0 B
83896번째 시행 : 0 S | 0 B
83897번째 시행 : 0 S | 1 B
83898번째 시행 : 0 S | 1 B
83899번째 시행 : 0 S | 1 B
83900번째 시행 : 0 S | 0 B
83901번째 시행 : 0 S | 1 B
83902번째 시행 : 0 S | 1 B
83903번째 시행 : 0 S | 0 B
83904번째 시행 : 0 S | 1 B
83905번째 시행 : 0 S | 1 B
83906번째 시행 : 0 S | 1 B
83907번째 시행 : 0 S | 1 B
83908번째 시행 : 0 S | 1 B
83909번째 시행 : 0 S | 1 B
83910번째 시행 : 1 S | 0 B
83911번째 시행 : 0 S | 1 B
83912번째 시행 : 0 S | 1 B
83913번째 시행 : 1 S | 0 B
83914번째 시행 : 0 S | 1 B
83915번째 시행 : 1 S | 1 B
83916번째 시행 : 1 S | 1 B
83917번째 시행 : 1 S | 0 B
83918번째 시행 : 1 S | 0 B
83919번째 시행 : 0 S | 1 B
83920번째 시행 : 1 S | 0 B
83921번째 시행 : 0 S | 1 B
83922번째 시행 : 0 S | 0 B
83923번째 시행 : 0 S | 0 B
83924번째 시행 : 0 S | 2 B
83925번째 시행 : 1 S | 0 B
83926번째 시행 : 1 S | 0 B
83927번째 시행 : 0 S | 1 B
83928번째 시행 : 1 S | 2 B
83929번째 시행 : 0 S | 2 B
83930번째 시행 : 1 S | 0 B
83931번째 시행 : 0 S | 2 B
83932번째 시행 : 0 S | 1 B
83933번째 시행 : 1 S | 1 B
83934번째 시행 : 1 S | 1 B
83935번째 시행 : 0 S | 1 B
83936번째 시행 : 0 S | 0 B
83937번째 시행 : 0 S | 2 B
83938번째 시행 : 0 S | 2 B
83939번째 시행 : 0 S | 1 B
83940번째 시행 : 2 S | 0 B
83941번째 시행 : 0 S | 2 B
83942번째 시행 : 1 S | 0 B
83943번째 시행 : 0 S | 1 B
83944번째 시행 : 0 S | 2 B
83945번째 시행 : 0 S | 2 B
83946번째 시행 : 1 S | 0 B
83947번째 시행 : 0 S | 1 B
83948번째 시행 : 0 S | 1 B
83949번째 시행 : 0 S | 0 B
83950번째 시행 : 0 S | 0 B
83951번째 시행 : 0 S | 1 B
83952번째 시행 : 0 S | 1 B
83953번째 시행 : 2 S | 0 B
83954번째 시행 : 2 S | 0 B
83955번째 시행 : 0 S | 2 B
83956번째 시행 : 2 S | 0 B
83957번째 시행 : 0 S | 1 B
83958번째 시행 : 1 S | 1 B
83959번째 시행 : 1 S | 0 B
83960번째 시행 : 0 S | 0 B
83961번째 시행 : 0 S | 1 B
83962번째 시행 : 1 S | 0 B
83963번째 시행 : 0 S | 2 B
83964번째 시행 : 0 S | 1 B
83965번째 시행 : 1 S | 0 B
83966번째 시행 : 0 S | 1 B
83967번째 시행 : 0 S | 1 B
83968번째 시행 : 0 S | 0 B
83969번째 시행 : 0 S | 0 B
83970번째 시행 : 0 S | 2 B
83971번째 시행 : 0 S | 1 B
83972번째 시행 : 1 S | 1 B
83973번째 시행 : 0 S | 0 B
